Lorem,ipsum
esoteric,intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.
sophisticated,"having, revealing, or proceeding from a great deal of worldly experience and knowledge of fashion and culture."
dulcet,(especially of sound) sweet and soothing.
bellicose,demonstrating aggression and willingness to fight.
endorse,declare one's public approval or support of.
stipple,"(in drawing, painting, and engraving) mark (a surface) with numerous small dots or specks."
cantankerous,"bad-tempered, argumentative, and uncooperative."
forestall,prevent or obstruct (an anticipated event or action) by taking action ahead of time.
insensible,"without one's mental faculties, typically a result of violence or intoxication; unconscious."
haughty,arrogantly superior and disdainful.